South_Ferry Rector_Street
3rd_Avenue_-_149th_Street Jackson_Avenue
Jackson_Avenue Prospect_Avenue
Prospect_Avenue Intervale_Avenue
Intervale_Avenue 174th_Street
174th_Street West_Farms_Square–East_Tremont_Avenue
West_Farms_Square–East_Tremont_Avenue East_180th_Street
East_180th_Street Bronx_Park_East
Bronx_Park_East Pelham_Parkway
Pelham_Parkway Allerton_Avenue
Allerton_Avenue Burke_Avenue
Burke_Avenue Gun_Hill_Road
Gun_Hill_Road 225th_Street
225th_Street 233rd_Street
233rd_Street Nereid_Avenue
Nereid_Avenue Morris_Park
Morris_Park Pelham_Parkway
Pelham_Parkway Gun_Hill_Road
Gun_Hill_Road Baychester_Avenue
Baychester_Avenue Eastchester-Dyre_Avenue
Brooklyn_Bridge–City_Hall Canal_Street
Canal_Street Spring_Street
Spring_Street Bleecker_Street
Bleecker_Street Astor_Place
Astor_Place 14th_Street–Union_Square
14th_Street–Union_Square 23rd_Street
23rd_Street 28th_Street
28th_Street 33rd_Street
33rd_Street 42nd_Street–Grand_Central
42nd_Street–Grand_Central 51st_Street
51st_Street 59th_Street
59th_Street 68th_Street–Hunter_College
68th_Street–Hunter_College 77th_Street
77th_Street 86th_Street
86th_Street 96th_Street
96th_Street 103rd_Street
103rd_Street 110th_Street
110th_Street 116th_Street
116th_Street 125th_Street
125th_Street 3rd_Avenue–138th_Street
3rd_Avenue–138th_Street Brook_Avenue
Brook_Avenue Cypress_Avenue
Cypress_Avenue East_143rd_Street–Saint_Mary's_Street
East_143rd_Street–Saint_Mary's_Street East_149th_Street
East_149th_Street Longwood_Avenue
Longwood_Avenue Hunts_Point_Avenue
Hunts_Point_Avenue Whitlock_Avenue
Whitlock_Avenue Elder_Avenue
Elder_Avenue Morrison_Avenue–Soundview
Morrison_Avenue–Soundview Saint_Lawrence_Avenue
Saint_Lawrence_Avenue Parkchester
Parkchester Castle_Hill_Avenue
Castle_Hill_Avenue Zerega_Avenue
Zerega_Avenue Westchester_Square–East_Tremont_Avenue
Westchester_Square–East_Tremont_Avenue Middletown_Road
Middletown_Road Buhre_Avenue
42nd_Street–Times_Square 5th_Avenue
5th_Avenue 42nd_Street–Grand_Central
42nd_Street–Grand_Central Vernon_Boulevard–Jackson_Avenue
Vernon_Boulevard–Jackson_Avenue Hunters_Point_Avenue
Hunters_Point_Avenue Court_Square
Court_Square Queensboro_Plaza
Queensboro_Plaza 33rd_Street–Rawson_Street
33rd_Street–Rawson_Street 40th_Street–Lowery_Street
40th_Street–Lowery_Street 46th_Street–Bliss_Street
46th_Street–Bliss_Street 52nd_Street–Lincoln_Avenue
52nd_Street–Lincoln_Avenue 61st_Street–Woodside_Avenue
61st_Street–Woodside_Avenue 69th_Street
69th_Street 74th_Street–Broadway
74th_Street–Broadway 82nd_Street–Jackson_Heights
82nd_Street–Jackson_Heights 90th_Street–Elmhurst_Avenue
90th_Street–Elmhurst_Avenue Junction_Boulevard
Junction_Boulevard 103rd_Street–Corona_Plaza
103rd_Street–Corona_Plaza 111th_Street
111th_Street Mets–Willets_Point
Mets–Willets_Point Flushing–Main_Street
Far_Rockaway-Mott_Avenue Rockaway_Park–Beach_116th_Street
Rockaway_Park–Beach_116th_Street Beach_105th_Street
Beach_105th_Street Beach_98th_Street
Beach_98th_Street Beach_90th_Street_A_Train
Beach_90th_Street_A_Train Beach_36th_Street
Beach_36th_Street Beach_44th_Street
Beach_44th_Street Beach_60th_Street
Beach_60th_Street Beach_67th_Street
Beach_67th_Street Broad_Channel
Broad_Channel Howard_Beach-JFK_Airport
Howard_Beach-JFK_Airport Aqueduct–North_Conduit_Avenue
Aqueduct–North_Conduit_Avenue Aqueduct_Racetrack
Aqueduct_Racetrack Ozone_Park–Lefferts_Boulevard
Ozone_Park–Lefferts_Boulevard 111th_Street
111th_Street 104th_Street
104th_Street Rockaway_Boulevard
Rockaway_Boulevard 88th_Street
88th_Street 80th_Street
80th_Street Euclid_Avenue
Euclid_Avenue Shepherd_Avenue
Shepherd_Avenue Van_Siclen_Avenue
Van_Siclen_Avenue Liberty_Avenue
Liberty_Avenue Broadway_Junction
Broadway_Junction Rockaway_Avenue
Rockaway_Avenue Ralph_Avenue
Ralph_Avenue Utica_Avenue
Utica_Avenue Kingston–Throop_Avenues
Kingston–Throop_Avenues Nostrand_Avenue
Nostrand_Avenue Clinton–Washington_Avenues
Clinton–Washington_Avenues Lafayette_Avenue
Lafayette_Avenue Hoyt–Schermerhorn_Streets
Hoyt–Schermerhorn_Streets Jay_Street–MetroTech
Jay_Street–MetroTech Fulton_Street
Fulton_Street Park_Place
Park_Place Canal_Street
Canal_Street Spring_Street
Spring_Street 14th_Street–8th_Avenue
14th_Street–8th_Avenue 23rd_Street
23rd_Street 34th_Street–Penn_Station
34th_Street–Penn_Station 42nd_Street–Times_Square
42nd_Street–Times_Square 50th_Street
50th_Street 59th_Street–Columbus_Circle
59th_Street–Columbus_Circle 125th_Street
125th_Street 145th_Street
145th_Street 168_Street
168_Street 175th_Street
175th_Street 181st_Street
181st_Street 190th_Street
190th_Street Dyckman_Street
Dyckman_Street 207th_Street–Inwood
Brighton_Beach Sheepshead_Bay
Sheepshead_Bay Kings_Highway
Kings_Highway Newkirk_Plaza
Newkirk_Plaza Prospect_Park
Prospect_Park 7th_Avenue
7th_Avenue DeKalb_Avenue
DeKalb_Avenue Grand_Street
Grand_Street Broadway–Lafayette_Street
Broadway–Lafayette_Street West_4th_Street–Washington_Square
West_4th_Street–Washington_Square 34th_Street–Herald_Square
34th_Street–Herald_Square 5th_Avenue
5th_Avenue 47th–50th_Streets–Rockefeller_Center
47th–50th_Streets–Rockefeller_Center 7th_Avenue
7th_Avenue 59th_Street–Columbus_Circle
59th_Street–Columbus_Circle 72nd_Street
72nd_Street 81st_Street–Museum_of_Natural_History
81st_Street–Museum_of_Natural_History 86th_Street
86th_Street 96th_Street
96th_Street 103rd_Street
103rd_Street 110th_Street–Cathedral_Parkway
110th_Street–Cathedral_Parkway 116th_Street
116th_Street 125th_Street
125th_Street 135th_Street
135th_Street 145th_Street
145th_Street 155th_Street
155th_Street 167th_Street
167th_Street 170th_Street
170th_Street 174th–175th_Streets
174th–175th_Streets Tremont_Avenue
Tremont_Avenue 182nd–183rd_Streets
182nd–183rd_Streets Fordham_Road
Fordham_Road Kingsbridge_Road
Kingsbridge_Road Bedford_Park_Boulevard
Bedford_Park_Boulevard Atlantic_Avenue–Barclays_Center
Atlantic_Avenue–Barclays_Center Church_Avenue
Church_Avenue 161st_Street–Yankee_Stadium
Euclid_Avenue Shepherd_Avenue
Shepherd_Avenue Van_Siclen_Avenue
Van_Siclen_Avenue Liberty_Avenue
Liberty_Avenue Broadway_Junction
Broadway_Junction Rockaway_Avenue
Rockaway_Avenue Ralph_Avenue
Ralph_Avenue Utica_Avenue
Utica_Avenue Kingston–Throop_Avenues
Kingston–Throop_Avenues Nostrand_Avenue
Nostrand_Avenue Franklin_Avenue
Franklin_Avenue Clinton–Washington_Avenues
Clinton–Washington_Avenues Lafayette_Avenue
Lafayette_Avenue Hoyt–Schermerhorn_Streets
Hoyt–Schermerhorn_Streets Jay_Street–MetroTech
Jay_Street–MetroTech Fulton_Street
Fulton_Street Park_Place
Park_Place Canal_Street
Canal_Street Spring_Street
Spring_Street West_4th_Street–Washington_Square
West_4th_Street–Washington_Square 14th_Street–8th_Avenue
14th_Street–8th_Avenue 23rd_Street
23rd_Street 34th_Street–Penn_Station
34th_Street–Penn_Station 42nd_Street–Times_Square
42nd_Street–Times_Square 50th_Street
50th_Street 59th_Street–Columbus_Circle
59th_Street–Columbus_Circle 72nd_Street
72nd_Street 81st_Street–Museum_of_Natural_History
81st_Street–Museum_of_Natural_History 86th_Street
86th_Street 96th_Street
96th_Street 103rd_Street
103rd_Street 110th_Street–Cathedral_Parkway
110th_Street–Cathedral_Parkway 116th_Street
116th_Street 125th_Street
125th_Street 135th_Street
135th_Street 145th_Street
145th_Street 155th_Street
